time,x,y,z,speed
16.620396073,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.670396074,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.720396075,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.770396076,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.820396076,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.870396077,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.920396078,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
16.970396079,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.020396079,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.07039608,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.120396081,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.170396082,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.220396082,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.270396083,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.320396084,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.370396085,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.420396085,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.470396086,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.520396087,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.570396088,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.620396088,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.670396089,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.72039609,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.770396091,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.820396091,-5.209449768066406,241.4868621826172,-0.4905679523944855,0.0
17.870396092,-5.209400653839111,241.4872283935547,-0.490873783826828,0.006513398424757679
17.920396093,-5.2093424797058105,241.4874725341797,-0.4910108149051666,0.006258447652001193
17.970396094,-5.209273338317871,241.4877471923828,-0.4911186397075653,0.006032606548184488
18.020396094,-5.209254264831543,241.48779296875,-0.4911867082118988,0.0011805547305014654
18.070396095,-5.209244728088379,241.48779296875,-0.4912296235561371,0.0007852089288485349
18.120396096,-5.2092413902282715,241.48776245117188,-0.49125540256500244,0.0005445609661334416
18.170396097,-5.209239482879639,241.4877471923828,-0.49126914143562317,0.00041525324232564325
18.220396097,-5.209238052368164,241.48773193359375,-0.4912746250629425,0.0003779998459878767
18.270396098,-5.209237098693848,241.4877166748047,-0.491275429725647,0.0004257179714486202
18.320396099,-5.209234714508057,241.4877166748047,-0.4912744164466858,0.00041822855324039575
18.370396099,-5.209232807159424,241.48768615722656,-0.49127230048179626,0.0004219424486220232
18.4203961,-5.209230899810791,241.4876708984375,-0.49126937985420227,0.00042962529762941335
18.470396101,-5.209228992462158,241.4876708984375,-0.4912671148777008,0.00043472113027549894
18.520396102,-5.209227085113525,241.48765563964844,-0.49126508831977844,0.00043954437627505104
18.570396102,-5.209224700927734,241.48765563964844,-0.49126365780830383,0.0004483342792214737
18.620396103,-5.209222316741943,241.48765563964844,-0.49126237630844116,0.0004529326936154767
18.670396104,-5.209219932556152,241.48765563964844,-0.49126192927360535,0.00038019848411716616
18.720396105,-5.2092180252075195,241.4876251220703,-0.4912625849246979,0.00045162926864666676
18.770396105,-5.20921516418457,241.4876251220703,-0.4912627041339874,0.0004602751615755834
18.820396106,-5.209211826324463,241.4876251220703,-0.491262286901474,0.0004653349103851537
18.870396107,-5.209208965301514,241.4876251220703,-0.491262286901474,0.00046622781734317073
18.920396108,-5.210291862487793,241.48794555664062,-0.49133819341659546,0.12482244439683046
18.970396108,-5.2328996658325195,241.49378967285156,-0.49216508865356445,0.7247160921226475
19.020396109,-5.28176736831665,241.50608825683594,-0.4932168126106262,1.23261347374941
19.07039611,-5.353703022003174,241.52413940429688,-0.4942109286785126,1.6805219013459134
19.120396111,-5.446016311645508,241.54710388183594,-0.49557167291641235,2.090340007033076
19.170396111,-5.556925296783447,241.5747833251953,-0.4977552592754364,2.4699570085787217
19.220396112,-5.685127258300781,241.60667419433594,-0.5002621412277222,2.821086232778824
19.270396113,-5.830209255218506,241.64358520507812,-0.50098717212677,3.1326038156799423
19.320396114,-5.991774559020996,241.6840057373047,-0.49708762764930725,3.4149457752661525
19.370396114,-6.167128562927246,241.7275848388672,-0.4902355372905731,3.6873494382634373
19.420396115,-6.3552446365356445,241.7742919921875,-0.48160555958747864,3.950597084344424
19.470396116,-6.553749084472656,241.82318115234375,-0.4746027886867523,4.220454520586985
19.520396117,-6.763800621032715,241.8758544921875,-0.47288137674331665,4.493520490344099
19.570396117,-6.991189956665039,241.93276977539062,-0.4694311320781708,4.72189938640675
19.620396118,-7.232805252075195,241.99208068847656,-0.4647340774536133,4.9438440368358885
19.670396119,-7.483633995056152,242.05392456054688,-0.45967191457748413,5.160168388203605
19.72039612,-7.738566875457764,242.11476135253906,-0.45676320791244507,5.404723853392483
19.77039612,-8.007556915283203,242.1781005859375,-0.44719114899635315,5.602823238716552
19.820396121,-8.291484832763672,242.24302673339844,-0.4357782304286957,5.793807164021867
19.870396122,-8.582157135009766,242.3113555908203,-0.42472803592681885,5.980908531025833
19.920396123,-8.879215240478516,242.37908935546875,-0.40787386894226074,6.170748367754483
19.970396123,-9.186634063720703,242.44847106933594,-0.39021608233451843,6.355136691179686
20.020396124,-9.504725456237793,242.52127075195312,-0.37249282002449036,6.525564117128363
20.070396125,-9.827780723571777,242.59397888183594,-0.3511715233325958,6.706463603446657
20.120396126,-10.159954071044922,242.66807556152344,-0.327077180147171,6.868464060006915
20.170396126,-10.499800682067871,242.74298095703125,-0.3004398047924042,7.033413403899903
20.220396127,-10.847991943359375,242.81976318359375,-0.27326494455337524,7.190834358805134
20.270396128,-11.202937126159668,242.8975372314453,-0.24435371160507202,7.3467920783077005
20.320396129,-11.565187454223633,242.97666931152344,-0.21434451639652252,7.499083785392801
20.370396129,-11.934640884399414,243.05712890625,-0.18331938982009888,7.6470413551628615
20.42039613,-12.311275482177734,243.1382598876953,-0.15154334902763367,7.791540262420624
20.470396131,-12.689274787902832,243.2190704345703,-0.11960872262716293,7.737221297667402
20.520396132,-13.065099716186523,243.2989959716797,-0.0879746824502945,7.689329048482459
20.570396132,-13.438671112060547,243.37808227539062,-0.05673566833138466,7.64160428143196
20.620396133,-13.809978485107422,243.45635986328125,-0.025899790227413177,7.594003671280777
20.670396134,-14.179020881652832,243.53390502929688,0.004552002064883709,7.546519733335348
20.720396135,-14.545791625976562,243.61077880859375,0.03465458005666733,7.499145200145501
20.770396135,-14.910292625427246,243.68698120117188,0.06444423645734787,7.451876347139824
20.820396136,-15.272523880004883,243.7625732421875,0.09395340085029602,7.404716247299469
20.870396137,-15.632486343383789,243.83753967285156,0.12321033328771591,7.357664195650124
20.920396137,-15.9901762008667,243.91189575195312,0.15223754942417145,7.310715288492513
20.970396138,-16.35043716430664,243.9864959716797,0.18139052391052246,7.4635617772114795
21.020396139,-16.72025489807129,244.06288146972656,0.2112710177898407,7.6588410765711075
21.07039614,-17.09962272644043,244.14108276367188,0.24193035066127777,7.852278159784633
21.12039614,-17.488449096679688,244.2211456298828,0.27336764335632324,8.043675723662687
21.170396141,-17.88661003112793,244.30300903320312,0.30557212233543396,8.232745228655316
21.220396142,-18.293970108032227,244.3866729736328,0.33853209018707275,8.419247678536374
21.270396143,-18.710391998291016,244.47213745117188,0.3722344636917114,8.602974563063354
21.320396143,-19.135726928710938,244.5593719482422,0.4066654145717621,8.783764271922236
21.370396144,-19.569822311401367,244.6483612060547,0.44181081652641296,8.961483406988242
21.420396145,-20.012523651123047,244.739013671875,0.47765710949897766,9.13602811354946
21.470396146,-20.463668823242188,244.83135986328125,0.5141902565956116,9.307317633920817
21.520396146,-20.923099517822266,244.9253387451172,0.5513956546783447,9.47529903917742
21.570396147,-21.39065170288086,245.02093505859375,0.5892598032951355,9.639925199042342
21.620396148,-21.86615753173828,245.1180877685547,0.6277684569358826,9.801175812068331
21.670396149,-22.349451065063477,245.2167510986328,0.6669077277183533,9.95903764166974
21.720396149,-22.840362548828125,245.3169403076172,0.7066639065742493,10.11351171136935
21.77039615,-23.33872413635254,245.41867065429688,0.7470235228538513,10.264611674336606
21.820396151,-23.84438133239746,245.5217742919922,0.7879727482795715,10.412349573790154
21.870396152,-24.357072830200195,245.6262969970703,0.8294922709465027,10.551696571420392
21.920396152,-24.875986099243164,245.73208618164062,0.8715203404426575,10.668379841503372
21.970396153,-25.399526596069336,245.8387908935547,0.9139325618743896,10.745332764966781
22.020396154,-25.92540740966797,245.94595336914062,0.9565455913543701,10.771546629048679
22.070396155,-26.45166015625,246.04969787597656,0.9991464614868164,10.743634789053097
22.120396155,-26.975980758666992,246.14935302734375,1.0415403842926025,10.673366737624598
22.170396156,-27.496524810791016,246.2450714111328,1.0835809707641602,10.573798466859646
22.220396157,-28.012250900268555,246.33694458007812,1.1251801252365112,10.461595393055722
22.270396158,-28.52293586730957,246.42544555664062,1.1663199663162231,10.353829713649846
22.320396158,-29.029176712036133,246.5110626220703,1.2070521116256714,10.266393478223609
22.370396159,-29.532238006591797,246.59434509277344,1.2474840879440308,10.208982084815817
22.42039616,-30.03325653076172,246.67579650878906,1.2873049974441528,10.182472739721614
22.470396161,-30.533447265625,246.75575256347656,1.3269610404968262,10.14138114237978
22.520396161,-31.03154945373535,246.83050537109375,1.3664382696151733,10.088023281813168
22.570396162,-31.52753257751465,246.89987182617188,1.4045995473861694,10.036226548487825
22.620396163,-32.02214050292969,246.964599609375,1.442413330078125,9.98078928697522
22.670396164,-32.51428985595703,247.0248565673828,1.480528473854065,9.924893494570725
22.720396164,-33.00508117675781,247.0817108154297,1.5183210372924805,9.874776974832336
22.770396165,-33.492645263671875,247.13540649414062,1.554720163345337,9.825868166051084
